docks,id,lat,lon,name
17,BikePoints_277,51.503157,-0.191496,"Kensington Church Street, Kensington"
17,BikePoints_278,51.503493,-0.07962,"Tooley Street, Bermondsey"
25,BikePoints_279,51.518622,-0.176645,"North Wharf Road, Paddington"
10,BikePoints_280,51.490083,-0.162418,"Royal Avenue 2, Chelsea"
18,BikePoints_281,51.495805,-0.127575,"Smith Square, Westminster"
42,BikePoints_282,51.519064,-0.059642,"Royal London Hospital, Whitechapel"
16,BikePoints_283,51.514409,-0.118478,"Kingsway, Covent Garden"
20,BikePoints_284,51.49914,-0.112031,"Lambeth North Station, Waterloo"
35,BikePoints_286,51.527294,-0.174653,"St. John's Wood Road, St. John's Wood"
23,BikePoints_287,51.523673,-0.128377,"Bedford Way, Bloomsbury"
34,BikePoints_288,51.492369,-0.147478,"Elizabeth Bridge, Victoria"
15,BikePoints_289,51.50923,-0.151296,"South Audley Street, Mayfair"
15,BikePoints_290,51.51678,-0.175488,"Winsland Street, Paddington"
32,BikePoints_291,51.484839,-0.138089,"Claverton Street, Pimlico"
16,BikePoints_292,51.498884,-0.165471,"Montpelier Street, Knightsbridge"
25,BikePoints_293,51.498157,-0.209494,"Kensington Olympia Station, Olympia"
16,BikePoints_294,51.488226,-0.135635,"St. George's Square, Pimlico"
27,BikePoints_295,51.500296,-0.092762,"Swan Street, The Borough"
18,BikePoints_296,51.493631,-0.190603,"Knaresborough Place, Earl's Court"
17,BikePoints_297,51.496127,-0.106,"Geraldine Street, Elephant & Castle"
21,BikePoints_298,51.502279,-0.074189,"Curlew Street, Shad Thames"
19,BikePoints_299,51.493985,-0.136928,"Vincent Square, Westminster"
16,BikePoints_300,51.505013,-0.172729,"Serpentine Car Park, Hyde Park"
24,BikePoints_301,51.514759,-0.148105,"Marylebone Lane, Marylebone"
28,BikePoints_302,51.466907,-0.216573,"Putney Pier, Wandsworth"
28,BikePoints_303,51.502953,-0.158456,"Albert Gate, Hyde Park"
15,BikePoints_305,51.486779,-0.115853,"Kennington Lane Tesco, Vauxhall"
16,BikePoints_306,51.518162,-0.135025,"Rathbone Street, Fitzrovia "
24,BikePoints_307,51.509908,-0.187842,"Black Lion Gate, Kensington Gardens"
20,BikePoints_308,51.499075,-0.085666,"Long Lane, Bermondsey"
40,BikePoints_309,51.509631,-0.119047,"Embankment (Savoy), Strand"
19,BikePoints_310,51.490867,-0.116911,"Black Prince Road, Vauxhall"
20,BikePoints_312,51.530889,-0.17677,"Grove End Road, St. John's Wood"
38,BikePoints_313,51.517344,-0.138072,"Wells Street, Fitzrovia "
36,BikePoints_314,51.500889,-0.083159,"Tyers Gate, Bermondsey"
16,BikePoints_315,51.525367,-0.153463,"The Tennis Courts, The Regent's Park"
32,BikePoints_317,51.496791,-0.093913,"Dickens Square, Borough"
18,BikePoints_318,51.510048,-0.138846,"Sackville Street, Mayfair"
21,BikePoints_319,51.527025,-0.088542,"Baldwin Street, St. Luke's"
26,BikePoints_320,51.493573,-0.139956,"Queen Mother Sports Centre, Victoria"
24,BikePoints_321,51.497855,-0.081608,"Bermondsey Street, Bermondsey"
26,BikePoints_322,51.526293,-0.073955,"Palissy Street, Shoreditch"
24,BikePoints_323,51.523196,-0.083067,"Clifton Street, Shoreditch"
15,BikePoints_324,51.49652,-0.101384,"Ontario Street, Elephant & Castle"
18,BikePoints_325,51.509087,-0.129697,"St. Martin's Street, West End"
25,BikePoints_326,51.532661,-0.099981,"Graham Street, Angel"
22,BikePoints_327,51.53095,-0.085603,"New North Road 1, Hoxton"
22,BikePoints_328,51.53114,-0.086016,"New North Road 2, Hoxton"
24,BikePoints_329,51.535892,-0.160854,"Prince Albert Road, The Regent's Park"
34,BikePoints_330,51.516417,-0.179135,"Eastbourne Mews, Paddington"
30,BikePoints_331,51.520858,-0.089887,"Bunhill Row, Moorgate"
20,BikePoints_332,51.493343,-0.194757,"Nevern Place, Earl's Court"
37,BikePoints_333,51.508605,-0.193764,"Palace Gardens Terrace, Notting Hill"
10,BikePoints_334,51.505044,-0.115851,"Concert Hall Approach 1, South Bank"
33,BikePoints_335,51.511968,-0.120718,"Tavistock Street, Covent Garden"
18,BikePoints_336,51.504942,-0.115533,"Concert Hall Approach 2, South Bank"
16,BikePoints_337,51.511084,-0.197524,"Pembridge Villas, Notting Hill"
23,BikePoints_338,51.511756,-0.119643,"Wellington Street, Strand"
25,BikePoints_339,51.533319,-0.111781,"Risinghill Street, Angel"
16,BikePoints_340,51.514441,-0.087587,"Bank of England Museum, Bank"
23,BikePoints_341,51.508103,-0.126021,"Craven Street, Strand"
36,BikePoints_343,51.536922,-0.150181,"London Zoo Car Park, The Regent's Park"
17,BikePoints_344,51.528246,-0.101026,"Goswell Road (City Uni), Finsbury"
33,BikePoints_345,51.488023,-0.166878,"Flood Street, Chelsea"
17,BikePoints_347,51.500139,-0.113936,"Lower Marsh, Waterloo"
17,BikePoints_348,51.51217,-0.150481,"Grosvenor Square, Mayfair"
18,BikePoints_349,51.51196,-0.142783,"St. George Street, Mayfair"
21,BikePoints_350,51.501715,-0.179854,"Queen's Gate, Kensington Gardens"
28,BikePoints_351,51.529423,-0.097122,"Macclesfield Rd, St Lukes"
